doc_title,source_url,jurisdiction,doc_date,doc_summary,tag1,tag2,tag3
T. Brown.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1354,School District 68,,Index record for sd68 escribe document identifier 1354,escribe,sd68-archive,public-registry
G. Korpan.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1355,School District 68,,Index record for sd68 escribe document identifier 1355,escribe,sd68-archive,public-registry
OS Reg Brd Motions June 19 19.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1356,School District 68,,Index record for sd68 escribe document identifier 1356,escribe,sd68-archive,public-registry
Detail by Schools May 2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1357,School District 68,,Index record for sd68 escribe document identifier 1357,escribe,sd68-archive,public-registry
Summary by Schools May 2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1358,School District 68,,Index record for sd68 escribe document identifier 1358,escribe,sd68-archive,public-registry
AS Strategic Plan.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1359,School District 68,,Index record for sd68 escribe document identifier 1359,escribe,sd68-archive,public-registry
Strategic Plan 2019-23.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1360,School District 68,,Index record for sd68 escribe document identifier 1360,escribe,sd68-archive,public-registry
NDTA.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1361,School District 68,,Index record for sd68 escribe document identifier 1361,escribe,sd68-archive,public-registry
Policy Committee Draft Terms of Reference.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1362,School District 68,,Index record for sd68 escribe document identifier 1362,escribe,sd68-archive,public-registry
AS Capital Plan.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1363,School District 68,,Index record for sd68 escribe document identifier 1363,escribe,sd68-archive,public-registry
Capital Plan Response Letter.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1364,School District 68,,Index record for sd68 escribe document identifier 1364,escribe,sd68-archive,public-registry
SD68 Capital Plan 2020_21 Request Summary.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1365,School District 68,,Index record for sd68 escribe document identifier 1365,escribe,sd68-archive,public-registry
Capital Plan Resolution.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1366,School District 68,,Index record for sd68 escribe document identifier 1366,escribe,sd68-archive,public-registry
2020-21 5YR Capital Plan FINAL (letter size).pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1367,School District 68,,Index record for sd68 escribe document identifier 1367,escribe,sd68-archive,public-registry
Catalyst Conference 2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1368,School District 68,,Index record for sd68 escribe document identifier 1368,escribe,sd68-archive,public-registry
NLPS Logo.png,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1369,School District 68,,Index record for sd68 escribe document identifier 1369,escribe,sd68-archive,public-registry
Agenda Package - BE_Jun19_2019 - English.Html,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1370,School District 68,,Index record for sd68 escribe document identifier 1370,escribe,sd68-archive,public-registry
Agenda.Css,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1371,School District 68,,Index record for sd68 escribe document identifier 1371,escribe,sd68-archive,public-registry
Agenda Package - BE_Jun19_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1372,School District 68,,Index record for sd68 escribe document identifier 1372,escribe,sd68-archive,public-registry
08 - April 3 2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1376,School District 68,,Index record for sd68 escribe document identifier 1376,escribe,sd68-archive,public-registry
