doc_title,source_url,jurisdiction,doc_date,doc_summary,tag1,tag2,tag3
2007 01 27 Community Accord Cfn Tol,https://www.ladysmith.ca/docs/agreements/2007-01-27-community-accord-cfn-tol.pdf,Town of Ladysmith,2007-01-27,,first-nations,,
2012 05 25 Naut'sa Mawt Accord Fully Executed,https://www.ladysmith.ca/docs/agreements/2012-05-25-naut'sa-mawt-accord-fully-executed.pdf,Town of Ladysmith,2012-05-25,,first-nations,,
2012 07 03 Signed Cooperation Protocol Sfn And Tol,https://www.ladysmith.ca/docs/agreements/2012-07-03-signed-cooperation-protocol-sfn-and-tol.pdf,Town of Ladysmith,2012-07-03,,first-nations,,
2012 10 22 Memorandum Of Understanding Signed Sfn And Tol,https://www.ladysmith.ca/docs/agreements/2012-10-22-memorandum-of-understanding-signed-sfn-and-tol.pdf,Town of Ladysmith,2012-10-22,,first-nations,,
Tol Jointcommunityreport Feb2016,https://www.ladysmith.ca/docs/agreements/tol-jointcommunityreport-feb2016.pdf,Town of Ladysmith,2016-02-01,,first-nations,,
Parks And Trails Brochure,https://www.ladysmith.ca/docs/brochures-other-publications/parks-and-trails-brochure.pdf,Town of Ladysmith,Parks And ,,brochure-insert,,
1478 Noise Bylaw,https://www.ladysmith.ca/docs/bylaws/1478-noise-bylaw.pdf,Town of Ladysmith,1478 Noise,,bylaw,,
2023 04 Spring Yard Waste Pickup,https://www.ladysmith.ca/docs/default-source/2018-events/2023-04-spring-yard-waste-pickup.pdf,Town of Ladysmith,2023-04-01,,event,,
2023 2024 Notice Water Flushing,https://www.ladysmith.ca/docs/default-source/2018-events/2023-2024-notice-water-flushing.pdf,Town of Ladysmith,2023-01-01,,event,water-systems,
2023 Cemetery Clean Up,https://www.ladysmith.ca/docs/default-source/2018-events/2023-cemetery-clean-up.pdf,Town of Ladysmith,2023-01-01,,event,,
2023 Spring Cleanup Reduced,https://www.ladysmith.ca/docs/default-source/2018-events/2023-spring-cleanup_reduced.pdf,Town of Ladysmith,2023-01-01,,event,,
2023 Watermain Flushing,https://www.ladysmith.ca/docs/default-source/2018-events/2023-watermain-flushing.pdf,Town of Ladysmith,2023-01-01,,event,water-systems,
2018 08 08 Lyp Document,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/2018-08-08-lyp_document.pdf,Town of Ladysmith,2018-08-08,,parks-rec,,
2019 09 17 Final Report Lot 108 W Appendices,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/2019-09-17-final-report-lot-108-w-appendices.pdf,Town of Ladysmith,2019-09-17,,parks-rec,,
2019 Prcac Committee Terms Of Reference,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/2019-prcac-committee-terms-of-reference.pdf,Town of Ladysmith,2019-01-01,,parks-rec,,
2023 01 04 Park Trail Brochure,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/2023-01-04-park-trail-brochure.pdf,Town of Ladysmith,2023-01-04,,brochure-insert,,
2024 Az Daycamp Campers Code Of Conduct Final,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/2024-az-daycamp-campers-code-of-conduct---final.pdf,Town of Ladysmith,2024-01-01,,parks-rec,,
2024 Facility Rental Request (fillable)cf3494fa7dea659dad49ff0000e75dbc,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/2024-facility-rental-request-(fillable)cf3494fa7dea659dad49ff0000e75dbc.pdf,Town of Ladysmith,2024-01-01,,parks-rec,,
2025 Admission Registration Information,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/2025-admission-registration-information.pdf,Town of Ladysmith,2025-01-01,,parks-rec,,
2025 Special Event Handbook,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/2025-special-event-handbook.pdf,Town of Ladysmith,2025-01-01,,event,,
2026 Spring Aquatic Schedule,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/2026-spring-aquatic-schedule.pdf,Town of Ladysmith,2026-01-01,,parks-rec,,
2026 Spring Fitness Schedule,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/2026-spring-fitness-schedule.pdf,Town of Ladysmith,2026-01-01,,parks-rec,,
2026 Summer Guide Final Print Version69a696fa7dea659dad49ff0000e75dbc,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/2026-summer-guide-final-print-version69a696fa7dea659dad49ff0000e75dbc.pdf,Town of Ladysmith,2026-01-01,,parks-rec,,
2026 Winter Guide Print Final Indd3f7596fa7dea659dad49ff0000e75dbc,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/2026-winter-guide-print-final-indd3f7596fa7dea659dad49ff0000e75dbc.pdf,Town of Ladysmith,2026-01-01,,parks-rec,,
2178 Prc Fees Charges Bylaw (2024 2027),https://www.ladysmith.ca/docs/default-source/2018-parks-rec/2178-prc-fees-charges-bylaw-(2024-2027).pdf,Town of Ladysmith,2024-01-01,,bylaw,,
2026 Community Banner Program Call For Submissions,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/community-banner-program/2026-community-banner-program---call-for-submissions.pdf,Town of Ladysmith,2026-01-01,,parks-rec,,
2026 Tol Community Banner Program Banner Design Template 2026,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/community-banner-program/2026/2026---tol---community-banner-program---banner-design-template-2026.pdf,Town of Ladysmith,2026-01-01,,parks-rec,,
2026 Tol Community Banner Program Competition Entry Form,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/community-banner-program/2026/2026---tol---community-banner-program---competition-entry-form.pdf,Town of Ladysmith,2026-01-01,,parks-rec,,
Facility Rental Request Form Fillable,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/facility-rental-request-form-fillable.pdf,Town of Ladysmith,,,parks-rec,,
Final 2023 Ladysmith Brown Drive Park Plan,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/final-2023-ladysmith-brown-drive-park-plan.pdf,Town of Ladysmith,2023-01-01,,parks-rec,,
Liquor Special Event Application Liquor Approval Only Fillable,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/liquor-special-event-application-liquor-approval-only-fillable.pdf,Town of Ladysmith,,,forms-permits-applications,,
Plants For Transfer Beach Meadow And Shrubbery 2024,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/plants-for-transfer-beach-meadow-and-shrubbery-2024.pdf,Town of Ladysmith,2024-01-01,,parks-rec,,
Special Event Permit Application (02 26),https://www.ladysmith.ca/docs/default-source/2018-parks-rec/special-event-permit-application-(02-26).pdf,Town of Ladysmith,2026-02-01,,forms-permits-applications,,
Special Event Permit Application (11 25),https://www.ladysmith.ca/docs/default-source/2018-parks-rec/special-event-permit-application-(11-25).pdf,Town of Ladysmith,2025-11-25,,forms-permits-applications,,
Special Event Permit Renewal Application (02 26),https://www.ladysmith.ca/docs/default-source/2018-parks-rec/special-event-permit-renewal-application-(02-26).pdf,Town of Ladysmith,2026-02-01,,forms-permits-applications,,
Town Of Ladysmith Final 2019 Waterfront Safety Audit,https://www.ladysmith.ca/docs/default-source/2018-parks-rec/town-of-ladysmith-final-2019-waterfront-safety-audit.pdf,Town of Ladysmith,2019-01-01,,parks-rec,wap,
2024 10 30 Aac Electronic Meeting Notice,https://www.ladysmith.ca/docs/default-source/accessibility-advisory-committee/2024-10-30_aac-electronic-meeting-notice.pdf,Town of Ladysmith,2024-10-30,,meeting-notice,advisory-committee,
2025 01 08 Location Change Meeting Notice,https://www.ladysmith.ca/docs/default-source/accessibility-advisory-committee/2025-01-08_location-change-meeting-notice.pdf,Town of Ladysmith,2025-01-08,,meeting-notice,advisory-committee,
2025 12 10 Aac Meeting Notice,https://www.ladysmith.ca/docs/default-source/accessibility-advisory-committee/2025-12-10_aac-meeting-notice.pdf,Town of Ladysmith,2025-12-10,,meeting-notice,advisory-committee,
Aac July 2023,https://www.ladysmith.ca/docs/default-source/accessibility-advisory-committee/aac-july-2023.pdf,Town of Ladysmith,2023-07-01,,aac-meeting,advisory-committee,
